,city,county,lng,lat,leads,renews,rate,level,eb_estimate,new_eb,score
0,北京市,西城区,116.36,39.9109,1397,331,0.2379362920544022,1,0.2333834202801037,0.2322230330719912,260
1,上海市,普陀区,121.391,31.2513,489,113,0.2331063394683026,1,0.2217275019434166,0.2199455790287056,250
2,上海市,虹口区,121.501,31.2664,235,59,0.252063829787234,1,0.2303700999461017,0.2256407893806298,250
3,上海市,静安区,121.443,31.2295,358,83,0.2342402234636871,1,0.2192902315963463,0.2173114644229765,240
4,上海市,浦东新区,121.539,31.2218,2622,542,0.2079031273836765,1,0.2051776556953411,0.2051578336781047,230
5,乌鲁木齐市,新市区,87.5223,43.9304,594,131,0.2215387205387205,4,0.2133082278385084,0.2009882443176545,230
6,上海市,黄浦区,121.48,31.2336,175,41,0.2352857142857143,1,0.2103132172918675,0.2089729813982556,230
7,北京市,海淀区,116.292,39.9581,3980,799,0.2017537688442211,1,0.1997877593204439,0.1998531287737041,220
8,上海市,闵行区,121.377,31.1148,1335,261,0.196880149812734,1,0.1927999674336618,0.1932770694298686,220
9,重庆市,南岸区,106.642,29.5029,1076,218,0.2040669144981412,2,0.1990518457364314,0.1961841381295927,220
10,上海市,嘉定区,121.261,31.3778,798,159,0.2008746867167919,1,0.1946447738078331,0.1952865416045521,220
11,苏州市,苏州工业园区,120.719,31.3249,780,157,0.2029230769230769,2,0.1964935515852029,0.192827223252281,220
12,厦门市,思明区,118.078,24.4483,751,153,0.2053941411451398,3,0.1986589460726743,0.1929312650676559,220
13,上海市,徐汇区,121.431,31.1901,493,101,0.2068823529411764,1,0.1972415115758801,0.1979542252991864,220
14,上海市,长宁区,121.42,31.2221,220,46,0.2123636363636363,1,0.1926892820286985,0.1948887515000255,220
15,深圳市,福田区,114.05,22.524,1054,199,0.1898045540796964,1,0.1856048706275447,0.1865714687647913,210
16,乌鲁木齐市,沙依巴克区,87.4675,43.727,514,108,0.2120894941634241,4,0.2024634053931878,0.1895802541826428,210
17,乌鲁木齐市,天山区,87.6302,43.7925,349,75,0.2173323782234957,4,0.2035266143574782,0.1856876663548467,210
18,重庆市,九龙坡区,106.507,29.5052,1569,284,0.1820070108349267,2,0.1789977893212766,0.1776975006854523,200
19,深圳市,南山区,113.926,22.536,1547,280,0.1823186813186813,1,0.1789585254207999,0.179875181237164,200
20,上海市,松江区,121.223,31.0344,950,175,0.1852105263157894,1,0.1808279902538948,0.1821630308468463,200
21,杭州市,萧山区,120.26,30.1862,902,162,0.1811552106430155,2,0.1762088637120161,0.1742031254942144,200
22,南京市,江宁区,118.84,31.9561,886,162,0.183844243792325,2,0.1792757082419142,0.1770511092450614,200
23,北京市,石景山区,116.217,39.9046,728,135,0.1864395604395604,1,0.1810168965341017,0.1826994099740059,200
24,广州市,越秀区,113.261,23.1313,593,107,0.1822816188870152,1,0.1753283535534381,0.1778347430552061,200
25,上海市,杨浦区,121.521,31.2617,410,77,0.1900243902439024,1,0.1800319437118927,0.1828951873756671,200
26,杭州市,滨江区,120.207,30.211,345,66,0.1937536231884058,2,0.1818878289839899,0.176559077525219,200
27,南京市,秦淮区,118.787,32.0326,324,62,0.192358024691358,2,0.1813830515789511,0.1758576687713603,200
28,常州市,天宁区,119.995,31.7939,305,61,0.202639344262295,3,0.1886142005130031,0.1779626139019322,200
29,青岛市,市南区,120.409,36.0759,292,57,0.1979178082191781,2,0.1838554290384872,0.1774887747205497,200
30,舟山市,定海区,122.103,30.0216,244,54,0.2243606557377049,4,0.2048619845209409,0.1812240269403978,200
31,乌鲁木齐市,头屯河区,87.361,43.9206,219,49,0.2270273972602739,4,0.2053437559272742,0.1797179722830794,200
32,东莞市,松山湖,113.881,22.925,144,30,0.2093333333333333,2,0.1850432842811323,0.1743973545340141,200
33,深圳市,盐田区,114.232,22.559,140,27,0.1938571428571428,1,0.1720031088831645,0.1802378332754793,200
34,北京市,朝阳区,116.437,39.9204,4663,776,0.1674164700836371,1,0.1658344062262114,0.1663143161516471,190
35,广州市,天河区,113.356,23.1271,1489,255,0.1722558764271323,1,0.1693543529867782,0.1706651721827936,190
36,重庆市,沙坪坝区,106.454,29.5437,1280,227,0.17834375,2,0.174985263759706,0.1735847842677181,190
37,上海市,宝山区,121.445,31.4016,961,168,0.1758178980228928,1,0.1717873259393126,0.173617896144137,190
38,合肥市,包河区,117.305,31.7955,813,146,0.1805817958179582,2,0.175833805042939,0.1736555538762275,190
39,南通市,崇川区,120.854,32.0139,587,103,0.1764684838160136,3,0.1705757454134836,0.1659194179772894,190
40,成都市,锦江区,104.114,30.6013,448,80,0.1795714285714285,2,0.1720509846247881,0.1688176685169763,190
41,贵阳市,云岩区,106.721,26.608,431,78,0.1819744779582366,3,0.1740429556922171,0.1676063984410898,190
42,天津市,河西区,117.218,39.1077,422,75,0.179909952606635,2,0.1708942142494835,0.167631015148353,190
43,常州市,新北区,119.956,31.8645,394,71,0.1824720812182741,3,0.1727314316734906,0.1659655425523011,190
44,杭州市,临安区,119.719,30.2371,231,43,0.1871471861471861,2,0.17331873762562,0.1676851555751392,190
45,乌鲁木齐市,米东区,87.7395,44.42,222,47,0.2127117117117117,4,0.1950967555741138,0.1716488364966132,190
46,天津市,和平区,117.194,39.118,212,40,0.1920377358490566,2,0.1745134350180213,0.1682957014382907,190
47,绍兴市,嵊州市,120.827,29.5644,212,42,0.1991132075471698,3,0.182666807286206,0.1699229707122752,190
48,福州市,马尾区,119.491,26.0913,173,36,0.2119826589595375,3,0.1881152819875418,0.1722829829955878,190
49,北京市,丰台区,116.28,39.8571,2492,402,0.1625168539325842,1,0.1603009966665312,0.1613111260040969,180
50,重庆市,渝北区,106.744,29.8138,2465,398,0.1624604462474645,2,0.1604323368850356,0.1600185681969788,180
51,北京市,东城区,116.41,39.9269,1158,184,0.159894645941278,1,0.1568102890708052,0.1590635730452564,180
52,昆明市,西山区,102.665,25.0411,692,117,0.1707976878612716,3,0.1651842274761666,0.161558963474469,180
53,苏州市,姑苏区,120.613,31.3395,657,107,0.1638614916286149,2,0.1590730168561926,0.1577690212780232,180
54,宁波市,鄞州区,121.543,29.82,633,104,0.1652969984202211,3,0.1603003254992683,0.1567799343273612,180
